scheme_name,short_description,category,scheme_type,state,eligibility,official_url
"Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY)","Provides cashless secondary and tertiary hospitalization coverage of up to Rs. 5 lakh per family per year to poor and vulnerable families.","Health Insurance","Central Scheme","All India","Families identified based on SECC 2011 deprivation and occupational criteria for rural and urban areas, RSBY beneficiaries, and senior citizens aged 70+ irrespective of income.","https://pmjay.gov.in"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","A direct benefit transfer maternity incentive scheme providing financial assistance to pregnant women and lactating mothers for health and nutrition.","Women & Maternal Health","Central Scheme","All India","Pregnant and lactating women for their first living child (and second child if girl child) belonging to socially and economically disadvantaged sections as per MoWCD norms.","https://wcd.gov.in/schemes/pradhan-mantri-matru-vandana-yojana"
"Janani Suraksha Yojana (JSY)","A safe motherhood intervention under the National Health Mission that promotes institutional delivery through conditional cash transfers.","Women & Maternal Health","Central Scheme","All India","Eligible pregnant women delivering in government health centers or accredited private hospitals, specifically targeting low-performing states and BPL/SC/ST mothers.","https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309"
"Janani Shishu Suraksha Karyakram (JSSK)","Entitles pregnant women delivering in public health institutions and sick neonates up to 1 year of age to completely free and cashless healthcare services and transport.","Women & Maternal Health","Central Scheme","All India","All pregnant women delivering in public health facilities and all sick infants up to 1 year accessing government healthcare institutions.","https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=842&lid=310"
"Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA)","Ensures comprehensive and quality antenatal care (ANC) with free health checkups and specialist consultations to all pregnant women on the 9th of every month.","Women & Maternal Health","Central Scheme","All India","All pregnant women in their 2nd and 3rd trimesters visiting designated public health facilities and participating private clinics.","https://pmsma.mohfw.gov.in"
"Ayushman Bharat - Health and Wellness Centres (Ayushman Arogya Mandir)","Transforms primary health centers into comprehensive primary healthcare centers providing free essential drugs, diagnostics, and wellness screening.","Public Health","Central Scheme","All India","Open to all citizens seeking comprehensive primary healthcare, wellness counseling, and screening for communicable and non-communicable diseases.","https://ab-hwc.nhm.gov.in"
"Pradhan Mantri National Dialysis Programme (PMNDP)","Provides free haemodialysis and peritoneal dialysis services to Below Poverty Line (BPL) patients and subsidized services to non-BPL patients at district hospitals.","Treatment & Medical Assistance","Central Scheme","All India","Patients suffering from end-stage renal disease (ESRD); fully free for Below Poverty Line (BPL) families at district hospitals under PPP mode.","https://nhm.gov.in/index1.php?lang=1&level=2&sublinkid=1051&lid=615"
"Rashtriya Arogya Nidhi (RAN)","Provides one-time financial assistance of up to Rs. 15 lakh to poor patients suffering from major life-threatening diseases for treatment at super-specialty government hospitals.","Treatment & Medical Assistance","Central Scheme","All India","Patients living below poverty line (BPL) suffering from specified life-threatening ailments treated at empanelled central government super-specialty hospitals.","https://mohfw.gov.in/schemes-programmes/national-programmes/rashtriya-arogya-nidhi"
"National Tuberculosis Elimination Programme (NTEP) - Nikshay Poshan Yojana","Provides free TB diagnosis and treatment along with a direct benefit transfer of Rs. 500 per month as nutritional support to all notified TB patients.","Disease Control","Central Scheme","All India","All tuberculosis patients notified on the national Nikshay portal and undergoing active anti-tubercular treatment.","https://tbcindia.gov.in"
"Rashtriya Bal Swasthya Karyakram (RBSK)","A child health screening and early intervention initiative covering 4Ds: Defects at birth, Deficiencies, Diseases, and Developmental delays including disability.","Child Health","Central Scheme","All India","All children from birth up to 18 years enrolled in government/aided schools, Anganwadi centers, and born at public health facilities.","https://rbsk.gov.in"
